,Word,POS,Spoken,Written
426,butcher,n,3,0
427,butter,n,2,0
428,button,n,2,0
429,buy,v,1,1
430,buyer,n,3,3
431,by,prep,1,1
432,by,adv,1,1
433,bye,interjection,1,0
434,bye,n,3,0
435,cabinet,n,2,2
436,cable,n,0,3
437,cake,n,2,3
438,calculate,v,2,3
439,calculation,n,2,0
440,calculator,n,3,0
441,calendar,n,3,0
442,call,v,1,1
443,call,n,1,1
444,calm,adj,3,3
445,camera,n,2,3
446,camp,n,3,3
447,campaign,n,2,1
448,can,modv,1,1
449,can,n,2,0
450,cancel,v,2,0
451,cancer,n,2,2
452,candidate,n,0,2
453,candle,n,3,0
454,candy,n,3,0
455,cap,n,3,0
456,capable,adj,2,2
457,capacity,n,3,2
458,capital,n,3,1
459,capital,adj,2,3
460,captain,n,0,3
461,capture,v,0,3
462,car,n,1,1
463,card,n,1,2
464,care,n,1,1
465,care,v,1,2
466,career,n,2,2
467,careful,adj,1,2
468,carefully,adv,2,2
469,carpet,n,2,3
470,carrot,n,3,0
471,carry,v,1,1
472,cartoon,n,3,0
473,case,n,1,1
474,cash,n,2,2
475,cash,v,3,0
476,cast,v,0,3
477,castle,n,0,3
478,cat,n,1,3
479,catalogue,n,0,3
480,catch,v,1,1
481,category,n,2,2
482,cause,n,2,1
483,cause,v,1,1
484,CD,n,3,3
485,cease,v,0,3
486,ceiling,n,3,3
487,celebrate,v,0,3
488,celebration,n,3,0
489,cell,n,3,2
490,cellphone,n,2,3
491,cent,n,1,1
492,centimetre,n,3,3
493,central,adj,1,1
494,centre,n,1,1
495,century,n,2,1
496,cereal,n,3,0
497,certain,adj,1,1
498,certainly,adv,1,1
499,certificate,n,3,3
500,chain,n,3,2
501,chair,n,1,2
502,chairman,n,3,1
503,challenge,n,2,2
504,challenge,v,3,3
505,champion,n,0,3
506,championship,n,0,3
507,chance,n,1,1
508,change,v,1,1
509,change,n,1,1
510,channel,n,3,2
511,chap,n,2,0
512,chapter,n,3,1
513,character,n,1,1
514,characteristic,n,3,2
515,characterize,v,0,3
516,charge,n,1,1
517,charge,v,1,2
518,charity,n,3,3
519,chart,n,3,3
520,chase,v,3,0
521,chat,n,2,0
522,cheap,adj,1,2
523,cheat,v,3,0
524,check,v,1,2
525,check,n,1,3
526,cheek,n,0,3
527,cheese,n,2,3
528,chemical,n,3,3
529,chemical,adj,0,3
530,chemist,n,3,0
531,chemistry,n,2,0
532,cheque,n,2,0
533,cherry,n,3,0
534,chest,n,2,3
535,chicken,n,2,0
536,chief,adj,2,2
537,chief,n,0,3
538,child,n,1,1
539,childhood,n,0,3
540,chip,n,2,3
541,chocolate,n,2,0
542,choice,n,1,1
543,choose,v,1,1
544,chop,v,3,0
545,chuck,v,3,0
546,church,n,1,1
547,cigarette,n,2,3
548,cinema,n,3,0
549,circle,n,2,2
550,circuit,n,0,3
551,circumstance,n,2,1
552,citizen,n,2,2
553,city,n,1,1
554,civil,adj,3,2
555,claim,v,1,1
556,claim,n,2,1
557,class,n,1,1
558,classic,adj,0,3
559,classical,adj,0,3
560,classroom,n,3,3
561,clean,adj,2,2
562,clean,v,1,3
563,cleaner,n,3,0
564,clear,adj,1,1
565,clear,v,1,2
566,clearly,adv,1,1
567,clerk,n,3,0
568,clever,adj,2,0
569,click,v,3,0
570,client,n,2,1
571,climate,n,0,3
572,climb,v,0,2
573,clock,n,2,3
574,close,v,1,1
575,close,adj,1,1
576,close,adv,2,2
577,closed,adj,3,0
578,closely,adv,3,2
579,closet,n,3,0
580,cloth,n,3,0
581,clothes,n,2,2
582,cloud,n,3,3
583,club,n,1,1
584,clue,n,2,0
585,coach,n,3,2
586,coal,n,2,2
587,coast,n,3,2
588,coat,n,2,3
589,code,n,2,2
590,coffee,n,1,2
591,coin,n,3,0
592,cold,adj,1,1
593,collapse,v,3,0
594,collar,n,3,0
595,colleague,n,2,2
596,collect,v,1,2
597,collection,n,2,1
598,college,n,1,2
599,colour,n,1,1
600,column,n,3,2
601,combination,n,3,2
602,combine,v,3,2
603,come,v,1,1
604,comfort,n,0,3
605,comfortable,adj,2,3
606,command,n,0,3
607,comment,n,1,2
608,comment,v,3,3
609,commercial,adj,3,2
610,commission,n,3,2
611,commit,v,2,2
612,commitment,n,2,2
613,committee,n,3,1
614,common,adj,1,1
615,communicate,v,3,3
616,communication,n,2,1
617,community,n,1,1
618,company,n,1,1
619,compare,v,1,1
620,comparison,n,3,2
621,compete,v,3,3
622,competition,n,2,1
623,competitive,adj,3,3
624,complain,v,2,3
625,complaint,n,3,3
626,complete,adj,2,1
627,complete,v,2,1
628,completely,adv,1,2
629,complex,adj,3,2
630,complicated,adj,2,0
631,component,n,0,2
632,comprehensive,adj,0,3
633,comprise,v,0,3
634,computer,n,1,1
635,concentrate,v,2,2
636,concentration,n,3,2
637,concept,n,3,2
638,concern,n,1,1
639,concern,v,0,3
640,concerned,adj,1,1
641,concerning,prep,0,3
642,concert,n,3,3
643,conclude,v,3,2
644,conclusion,n,3,2
645,condition,n,2,1
646,conduct,v,0,2
647,conduct,n,0,3
648,conference,n,2,1
649,confidence,n,2,2
650,confident,adj,3,3
651,confine,v,0,3
652,confirm,v,2,2
653,conflict,n,3,2
654,confused,adj,3,0
655,confusing,adj,3,0
656,confusion,n,3,3
657,congratulation,n,3,0
658,connect,v,2,2
659,connection,n,3,2
660,conscious,adj,2,3
661,consciousness,n,0,3
662,consent,n,0,3
663,consequence,n,3,2
664,consider,v,1,1
665,considerable,adj,3,1
666,considerably,adv,3,0
667,consideration,n,2,2
668,consist,v,0,3
669,consistent,adj,3,3
670,constant,adj,3,3
671,constantly,adv,3,3
672,constitute,v,0,3
673,construct,v,0,3
674,construction,n,3,2
675,consult,v,3,3
676,consumer,n,3,2
677,consumption,n,0,3
678,contact,n,2,2
679,contact,v,2,2
680,contain,v,2,1
681,contemporary,adj,0,2
682,content,n,3,2
683,contest,n,0,3
684,context,n,2,2
685,continue,v,1,1
686,continuous,adj,3,3
687,contract,n,1,1
688,contrast,n,0,2
689,contribute,v,3,2
690,contribution,n,2,2
691,control,n,1,1
692,control,v,2,1
693,convenient,adj,3,0
694,convention,n,0,2
695,conventional,adj,0,3
696,conversation,n,1,2
697,convert,v,0,3
698,conviction,n,0,3
699,convince,v,3,3
700,cook,v,1,3
701,cooker,n,3,0
702,cookie,n,3,3
703,cool,adj,2,3
704,cool,v,2,0
705,cooperation,n,3,3
706,cope,v,2,3
707,copy,n,1,2
708,copy,v,2,0
709,core,n,0,3
710,corn,n,3,0
711,corner,n,1,2
712,correct,adj,1,2
713,correct,v,3,0
714,corridor,n,2,3
715,cost,n,1,1
716,cost,v,1,2
717,cottage,n,3,3
718,cotton,n,0,3
719,could,modv,1,1
720,council,n,2,2
721,count,v,2,3
722,counter,n,3,0
723,country,n,1,1
724,countryside,n,3,3
725,county,n,0,2
726,couple,n,1,1
727,courage,n,3,0
728,course,n,1,1
729,court,n,1,1
730,cousin,n,2,0
731,cover,v,1,1
732,cover,n,1,2
733,cow,n,2,0
734,crack,v,3,0
735,craft,n,0,3
736,crash,n,3,0
737,crazy,adj,2,0
738,create,v,2,1
739,creation,n,0,2
740,creative,adj,0,3
741,creature,n,0,3
742,credit,n,2,2
743,credit card,n,3,3
744,crew,n,3,3
745,crime,n,2,2
746,criminal,adj,3,2
747,crisis,n,3,2
748,criterion,n,0,2
749,critic,n,0,3
750,critical,adj,3,2
751,criticism,n,3,2
752,criticize,v,0,3
753,crop,n,0,3
754,cross,v,2,2
755,cross,n,3,3
756,cross,adj,2,0
757,crowd,n,3,2
758,crown,n,0,3
759,crucial,adj,0,2
760,cruel,adj,3,0
761,cry,v,2,2
762,cry,n,0,3
763,cultural,adj,0,2
764,culture,n,2,1
765,cup,n,1,1
766,cupboard,n,2,0
767,curious,adj,3,0
768,currency,n,0,2
769,current,adj,2,2
770,current,n,0,3
771,currently,adv,2,2
772,curtain,n,3,3
773,curve,n,3,3
774,cushion,n,3,0
775,custom,n,0,3
776,customer,n,1,1
777,cut,v,1,1
778,cut,n,2,2
779,cute,adj,2,0
780,cycle,n,3,3
781,dad,n,1,3
782,daddy,n,1,0
783,daft,adj,3,0
784,daily,adj,3,2
785,damage,n,3,2
786,damage,v,3,3
787,dance,n,2,3
788,dance,v,2,3
789,danger,n,2,2
790,dangerous,adj,2,2
791,dare,v,3,3
792,dark,adj,2,1
793,darkness,n,0,3
794,darling,n,2,0
795,data,n,1,1
796,database,n,3,3
797,date,n,1,1
798,date,v,3,3
799,daughter,n,1,1
800,day,n,1,1
801,dead,adj,1,1
802,dead,adv,3,0
803,deaf,adj,0,3
804,deal,n,1,1
805,deal,v,1,1
806,dealer,n,0,3
807,dear,interjection,1,0
808,dear,n,2,0
809,dear,adj,2,2
810,death,n,1,1
811,debate,n,2,2
812,debt,n,3,2
813,decade,n,0,2
814,decent,adj,3,0
815,decide,v,1,1
816,decision,n,1,1
817,declare,v,0,2
818,decline,n,0,2
819,decline,v,0,3
820,deep,adj,2,1
821,deep,adv,0,3
822,deeply,adv,0,3
823,defeat,n,0,3
824,defeat,v,0,3
825,defence,n,2,1
826,defend,v,3,3
827,define,v,2,2
828,definite,adj,3,0
829,definitely,adv,1,0
830,definition,n,2,2
831,degree,n,2,1
832,delay,n,0,3
833,delay,v,0,3
834,deliberately,adv,3,0
835,deliver,v,2,2
836,delivery,n,3,3
837,demand,n,2,1
838,demand,v,0,2
839,democracy,n,0,2
840,democratic,adj,0,2
841,demonstrate,v,3,2
842,demonstration,n,0,3
843,dentist,n,3,0
844,deny,v,3,2
845,department,n,2,1
846,departure,n,0,3
847,depend,v,1,2
848,dependent,adj,0,3
849,deposit,n,3,3
